Id,SalePrice
2658,133249.08792473056
2718,150381.39853848898
2414,213823.75829566535
1989,124199.03832217395
625,175250.25773815683
333,94137.76870519338
1327,105279.43157114106
858,136390.46950474402
95,173922.05770489326
1568,149180.21899829528
2482,156098.83928596743
1364,137742.66412709394
2584,143580.37722288677
818,294828.32785326644
2673,156098.71132417838
2089,138089.61342761572
1297,131593.15440208674
790,109953.95525354435
2616,198542.07639296996
720,223192.58670145634
222,139889.65903926583
557,127177.6123515738
1148,184033.86510307997
2766,154172.8216390719
534,184558.9838972509
1452,109284.92895226234
630,119826.6291505422
2648,121488.10939281627
125,155432.67717444664
1904,71729.51948902573
1670,95276.47299828543
756,100142.87640609684
717,245628.45478362386
1032,154833.10704794942
852,206785.69967952452
1731,175527.82849487328
2639,117317.47963887286
2071,99862.99581623706
1267,129816.071545763
1851,183677.18724942033
567,147561.1317455649
2439,203047.5697813043
1898,148164.90359382547
647,175767.27166921477
2256,214013.15792454485
979,98585.90535837701
1444,208941.68524324938
2485,121722.31914832363
157,132118.0732201533
88,110356.86684041838
2003,114063.89667401796
186,224378.0293916758
1425,239441.1129439001
2695,126372.24979155617
738,107517.52726972007
395,156220.03345809312
1353,173703.7921656007
1878,130585.61325981557
390,145726.99715590008
1456,233624.64805987853
1103,308797.3286372189
1387,122348.58768455767
2070,127764.96903503427
1199,183545.2263377589
2479,173185.08270329583
501,280359.4740700734
2362,89024.66311528914
1718,185095.51850933285
2188,93487.90051038584
1483,154814.50971812828
2557,89451.61492235736
437,376937.02699744655
2224,160626.43628889445
1628,177030.0011866586
397,138830.8736120127
587,175964.52607068198
971,155852.33954344937
2611,144777.41008895455
1887,104907.91468868915
2399,365220.8040396721
2148,193278.1417742121
304,122139.91724924208
1997,123044.03224228095
2817,136464.9496889807
1431,178037.92605925718
427,301278.9635702744
263,117657.07872501553
598,152892.79882975298
2895,223854.6809568656
687,149847.4512192382
1822,131525.63791790098
2191,111049.54795207179
179,142176.36652730065
1009,201196.74608721663
2010,130018.77816575536
1991,136781.8682261656
1411,173652.71164631558
1721,220702.75574510507
1144,185074.12951842137
593,227194.82523458268
575,322367.8205202959
1249,152612.3598176001
1604,116336.46607570951
1064,574535.6711187487
1923,146149.91917017396
1988,113457.38195704743
2325,158716.93226845228
114,177823.8200363837
2700,149518.93294046988
217,109831.63140500887
343,158448.60953661022
386,216275.6658636888
2005,128802.46021791776
2908,130207.45907357232
1814,236527.91962469814
2446,610273.6068083994
208,157300.384270189
1679,111307.05911301298
822,348066.3193329204
6,171170.40338908526
1781,414831.5192914463
2397,250134.19968236345
2340,309021.69209682633
1618,161236.33702154862
2843,126213.74037261301
1061,372584.1037477742
2786,119355.34521843781
1935,134201.11539004164
1341,118301.18499041258
521,260860.6339434756
2136,128452.22343175938
996,178774.7154703168
227,137764.93848759215
135,161222.68019447176
1167,160489.44500523986
294,216870.64753908012
1776,191087.53771446968
540,180238.18413466078
1717,182358.1109674884
2303,126814.15462379863
116,167971.8611145966
127,124791.63601806734
1371,147959.4730423594
1014,141177.08210089855
1507,120044.89448750473
702,128058.10399525649
750,148993.1892220717
261,151957.52680425727
1559,86391.66562329675
577,197365.8221330184
2812,195293.55227807784
2080,150606.94692888178
1368,129133.3346617336
2376,115144.33404013824
659,128426.0652030922
1235,124466.81422958564
332,87552.37085764494
1917,136812.13664290804
2094,247552.58553896943
1460,252708.08425601394
1471,197273.15484233134
1509,128287.2434576717
1922,128422.52125105298
433,576939.8833816543
460,254459.04482918343
1116,225064.38510855788
1137,173589.44438861124
53,171728.10062813121
2354,243972.8396972402
1475,191192.70999042765
1761,711358.7876813664
842,148145.0671070782
2739,154080.37982791392
2509,160203.08564105723
1007,202774.84887055834
2610,172208.83552415346
1952,94404.17913432719
2719,144824.05507002075
2921,93690.80975337718
1966,126957.38187974591
292,107724.08148991439
1204,183580.52463562464
1829,230337.17131179533
2419,187910.01371252892
391,146801.30023786076
798,116134.47674262107
481,202449.0124165723
193,193547.81891603718
555,117549.30505205186
899,80038.03684029877
2357,188148.11797762028
328,138326.49989616088
1356,141565.50522647024
1154,112469.24119901616
1730,171200.03440060487
2249,168457.84944417165
1119,264153.95105601946
2856,111710.13484923019
1394,128853.80803812077
2587,141531.8090534798
61,329913.93182238145
2661,201159.96079107237
2711,123018.47291670837
1147,179857.041440566
757,144044.85439799144
2623,97841.61862170335
2378,143746.45876441427
1413,144608.48634410184
1722,211556.4893776696
1112,206332.20107666962
1623,184741.37508436805
1201,164093.4769756576
